DIMENSIONES;RECURSO;NOMBRE DEL RECURSO/PROGRAMA;DESCRIPCIÓN DEL RECURSO;DIRECCIÓN;LOCALIDAD;CONTACTO;ZONA
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Juguemos Piola;“CONSTRUIR, PARA LA LIBERTAD”;El lugar cuenta con un espacio techado en el cual se realizan las diferentes actividades como la copa de leche y comedor, como así también se dan clases de apoyo escolar y se cuenta con un amplio patio al aire libre donde se suele realizar actividades recreativas. Las actividades intergeneracionales se llevan a cabo en el comedor “Juana Manuela” tanto días de semana como también días sábados.;CALLE 10 y 95, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;CENTRO DE PROMOCIÓN COMUNITARIO 30 DE OCTUBRE;es un espacio de atención integral a familias y niños en situación de vulnerabilidad social;CALLEE 124 N° 3662 e/ 66 y 607, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;CASA MARÍA PUEBLO;Ayuda y aborda Integralmente a a mujeres víctimas de violencia de género.;CALLE 122 N° 3950, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;MERENDERO RAYITO DE SOL;Se trata de un espacio donde se brinda asistencia alimentaria a niños y adolescentes de la zona. El comedor es parte de una iniciativa más amplia de trabajo comunitario, donde vecinos y la comuna colaboran para ofrecer alimentos accesibles a la población local.;CALLE 124 y 613, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;CASAS DE ATENCIÓN Y ACOMPAÑAMIENTO COMUNITARIO EN LA CASITA DE LOS PIBES;Conveniada con  con la Subsecretaría de Salud Mental, Consumos Problemáticos y Violencias en el ámbito de la Salud Pública;CALLE 122 y 609, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;PARROQUIA CRISTO REY;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 81 y 8 BIS, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Nuestra Señora de Caacupé;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 84 N° 500, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Nuestra Señora de la Paz;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 4 BIS e/ 611 y 612, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Santa Cruz;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 6 e/ 603 y 604, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Iglesia de Jesucristo de los Santos de los últimos días;Organización religiosa cristiana que trabaja en el fortalecimiento espiritual de sus miembros a través de reuniones, clases y diferentes actividades comunitarias.;CALLE 76 y 120, Villa Elvira, La Plata, Buenso Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Iglesia de Jesucristo de los Santos de los últimos días;Organización religiosa cristiana que trabaja en el fortalecimiento espiritual de sus miembros a través de reuniones, clases y diferentes actividades comunitarias.;CALLE 96 N° 515, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Iglesia de Jesucristo de los Santos de los últimos días;Organización religiosa cristiana que trabaja en el fortalecimiento espiritual de sus miembros a través de reuniones, clases y diferentes actividades comunitarias.;CALLE 120 y 76, Villa Elvira, Las Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Iglesia de Jesucristo de los Santos de los últimos días;Organización religiosa cristiana que trabaja en el fortalecimiento espiritual de sus miembros a través de reuniones, clases y diferentes actividades comunitarias.;CALLE 198 y 600, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;IGLESIA ASAMBLEA DE DIOS 248;Con fuerte influencia del evangelio traído desde Suecia, realizan trabajos de fortalecimiento comunitario;CALLE 15 N° 2361, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club 25 de mayo;institución donde se realizan actividades culturales y deportivas diversas;CALLE 90 e/ 15 y 16, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;C.R.I.B.A;El Centro Recreativo Infantil Barrio Aeropuerto nació en en seno del barrio platense con el ideal de convocar a toda la comunidad;CALLE 3 Nº 3900, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;"Club ""Caminos de Villa Alba""";es un proyecto colectivo que se gestó hace 10 años con el objetivo de promover derechos y niñeces felices;CALLE 122 e/ 614 y 615, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;"Club social y deportivo ""lo de Patricia""";institución donde se realizan actividades culturales y deportivas diversas;CALLE 123 Nº 4071, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Cerro platense;institución donde se realizan actividades culturales y deportivas diversas;CALLE 612 y 125, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Defensores de Villa Alba;El club participa en diversas categorías del fútbol amateur, incluyendo super senior, senior, reserva y primera división. Además, cuenta con divisiones infantiles;CALLE 122 Nº 3501, Villa Elvira, La Plata, Buenos Aires;Villa Alba;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;CLUB ATLETICO PARAGUAYO;institución donde se realizan actividades culturales y deportivas diversas;CALLE 609 Nº 345, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;CLUB SOCIAL Y DEPORTIVO TRICOLORES;Se destaca en la rama del Fútbol donde actualmente cuenta con planteles de todas las divisiones de las que dispone la Liga Amateur Platense y también desde comienzos de 2019 incorporó la Escuela formativa;CALLE 94 e/ 4 y 5, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;CAPILLA SANTA CECILIA;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 89 e/ 28 y 29, Villa Elvira, La Plata Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;MERENDERO LA NEGRA MARÍA;Es un merendero y comedor comunitario que brinda asistencia a familias necesitadas, brindando contención y apoyo;CALLE 89 e/ 19 y 20, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;CLUB LA 90 INFANTIL;Centro de deportes y recreación;CALLE 90 e/ 19 y 20, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;CERRO PLATENSE;CLub de fútbol infantil;CALLE 90 e/ 27 y 28, Villa Elvira, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro de Formacion Profesional;DOMUS DEI;Son unidades educativas que tienen como objeto la formación en saberes y competencias de nivel técnico, adecuadas a las demandas socioproductivas y científicas;C. 98 485, B1914 Villa Elvira, Provincia de Buenos Aires;Villa Elvira;;ZONA ESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO MARIA DE LUJAN SIERRA;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 74 N° 376, La Plata, Buenos Aires;Villa Elvira;;ZONA ESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas de Arte;ESCUELA DE EDUCACIÓN ARTÍSTICA Nº2;Escuela de arte que comprendelas áreas como Plástica, Literatura, Expresión corporal y Orientaciones Acrobacia y Danza aérea, Teatro, Música, Multimedia, etc.;CALLE 76  e/ 7 y 8, La Plata, Buenos Aires ;Villa Elvira;;ZONA ESTE

